,k,window_width,update_interval,total_profit,valid_break_num,max_position,total_trade_size
0,1.0,1800,1800,-6460163.832778186,115976,10000000.0,4640250
0,1.5,1800,1800,6121244.220320545,54608,10000000.0,2064654
0,2.0,1800,1800,8749212.922460407,24265,10000000.0,984952
0,2.5,1800,1800,7922535.637889882,10247,10000000.0,528782
0,3.0,1800,1800,7341494.265540006,4876,10000000.0,321706
0,1.0,3600,1800,-3242310.5456923097,104555,10000000.0,4078268
0,1.0,3600,3600,-3106914.0887211114,102806,10000000.0,4082127
0,1.5,3600,1800,7294951.868420109,44650,10000000.0,1714702
0,1.5,3600,3600,7389305.014330722,44283,10000000.0,1720202
0,2.0,3600,1800,8965812.602580642,17841,10000000.0,822053
0,2.0,3600,3600,9003279.448540438,17352,10000000.0,823595
0,2.5,3600,1800,7895975.647579994,7316,10000000.0,440692
0,2.5,3600,3600,7974159.449840013,7129,10000000.0,440110
0,3.0,3600,1800,7298228.618519972,3447,10000000.0,259529
0,3.0,3600,3600,7365615.45569995,3729,10000000.0,263630
0,1.0,7200,1800,-468789.6126517505,91791,10000000.0,3593451
0,1.0,7200,3600,-377601.4321714267,89441,10000000.0,3568547
0,1.5,7200,1800,8158968.546670441,35925,10000000.0,1441108
0,1.5,7200,3600,8193096.52155043,34668,10000000.0,1445392
0,2.0,7200,1800,9127026.435850088,13297,10000000.0,667929
0,2.0,7200,3600,9222654.079250015,13197,10000000.0,666030
0,2.5,7200,1800,8708256.856549934,5567,10000000.0,372259
0,2.5,7200,3600,8716668.981169969,5587,10000000.0,368997
0,3.0,7200,1800,7451310.216849973,2690,10000000.0,228352
0,3.0,7200,3600,7428669.398319968,2706,10000000.0,224264
0,1.0,14400,1800,1535307.2106201053,78426,10000000.0,3108294
0,1.0,14400,3600,1491380.515609607,79359,10000000.0,3168451
0,1.5,14400,1800,8847075.500430418,29885,10000000.0,1248889
0,1.5,14400,3600,8876758.84307052,29909,10000000.0,1273717
0,2.0,14400,1800,9341063.441839982,10287,10000000.0,586829
0,2.0,14400,3600,9430027.198139949,10463,10000000.0,595511
0,2.5,14400,1800,8641157.78927006,4262,10000000.0,327563
0,2.5,14400,3600,8728436.856660033,4378,10000000.0,335705
0,3.0,14400,1800,8094388.021160016,2241,10000000.0,203575
0,3.0,14400,3600,8097947.683950013,2338,10000000.0,206485
