,win_interval,n_std,daily_profit,profit_up,profit_low,best_profit_up,best_profit_low,break_up,break_low,valid_break_up,valid_break_low,valid_up_duration,valid_low_duration,up_proportion,low_proportion
0,3600,0.3,21773.72274408384,76767.66110864267,75648.39809994421,228849.89605229325,258394.81953371223,64729,64690,41008,41119,134810,121979,0.4106734005754012,0.38788984660182696
1,3600,0.6,29045.92161023358,101441.98672560329,101879.4645460318,193206.69881917202,223813.9470143761,59102,59318,27609,27907,84178,74789,0.31928582795515237,0.2989650634180384
2,3600,0.7,30140.85698430884,104934.18904947746,106051.80984068444,183588.71862732468,214332.44289234706,56930,56876,24552,24918,73524,66497,0.2908993566878407,0.2716848013605276
3,3600,0.8,30818.505243083262,107343.35443602943,108386.18226555342,174509.00057056773,205809.6463347824,54591,54171,21999,22300,65570,60525,0.2641732909000211,0.24502469778110242
4,3600,0.9,31098.044708195044,108118.05805790304,109568.25489946225,165923.218874863,197447.21511597355,51775,51341,19743,20068,60535,55751,0.23863461670196986,0.2207755142983536
5,3600,1.0,31105.022470995686,107872.7235682408,109862.433728729,158179.9385022657,187066.69401854931,48837,48298,17771,18142,57163,52322,0.2145829181482434,0.1985580153933686
6,3600,1.1,30914.758123377447,106852.7170556313,109550.5898080108,151116.37342748692,179779.3448653481,45799,45283,16048,16451,53708,49486,0.19210266208220503,0.17763826559365578
7,3600,1.2,30410.8602434267,104967.46237044253,107908.5593335444,143228.42455691268,171524.2709187632,42643,42261,14463,14879,51243,47071,0.17132692322659246,0.15813742389799343
8,3600,1.5,28002.82385235985,95661.03119373397,100358.73577278499,121023.54878153722,149143.8715252249,33433,33488,10594,11102,45285,41060,0.11929701390371204,0.10791614773395852
9,3600,1.8,24798.750111207406,84157.47856420102,89433.77221425083,101390.41152957498,127277.13617835383,25517,25569,7810,8244,41766,37047,0.08077838918238896,0.07221147580389078
10,7200,0.3,22384.41958449757,79081.52237608861,77609.41471539438,225067.40341002072,253740.863262578,64066,63938,39746,39725,124379,116193,0.3994348464186138,0.37783980186970223
11,7200,0.6,29018.18285667545,101662.58577486384,101464.69422186431,188146.73308417693,217390.30215600363,57015,57510,26152,26472,74651,70898,0.30390516956851565,0.281262605581312
12,7200,0.7,29863.536812052364,104643.78374427154,104400.97394009502,178149.10480734296,204877.83509393633,54698,54701,23154,23415,65902,62739,0.27483880749113093,0.25155428681229736
13,7200,0.8,30317.65432854401,106275.29834573343,105948.28195407461,168094.51038975824,195720.5221288261,52112,51594,20580,20838,58802,57648,0.2481262767727442,0.22489982495525934
14,7200,0.9,30467.58273898516,106481.80445644962,106791.27471644648,159901.75978805014,186533.91267892084,48974,48744,18378,18706,54565,53419,0.22243181190933983,0.20052418315335513
15,7200,1.0,30289.974355178936,105306.22417366435,106723.59631258818,151776.57591511123,178548.40499155465,45998,45640,16397,16848,50842,49534,0.1985298796908214,0.17765011393403216
16,7200,1.1,29885.364900718316,103964.56226108235,105232.99204394585,144150.09167832462,170185.62722017127,42897,42496,14727,15108,48656,45807,0.17635861637225914,0.1566726528308284
17,7200,1.2,29376.195683175847,101925.19785365336,103708.17192857758,136179.67688371893,162771.99841337037,39999,39276,13242,13665,46149,43947,0.15586523179894227,0.13790134451691494
18,7200,1.5,26513.7395727012,90598.3435242754,94997.83348463301,113051.81938195099,139645.82949826066,31008,30173,9476,10043,41881,38316,0.10411046933805992,0.09197988398548748
19,7200,1.8,23049.802735793106,77791.60867043873,83557.010480113,91982.92899925349,121187.66804525668,22726,22381,6779,7369,37916,33922,0.0669754837803198,0.05968233220025148
20,14400,0.3,22952.821444419096,81197.98945010337,79471.7606608303,219675.05093630124,249855.99562986795,62953,63406,38059,38419,117698,109114,0.3929733880400301,0.36650107511144153
21,14400,0.6,28730.138261361604,99598.12260725442,101512.84522227682,179263.2591829191,210231.64998453154,54246,56313,24425,25146,70987,66759,0.28972684731776344,0.26595844293404797
